make,year,category,odometer,city,state,price,link
Ford E-450 18FT BOX ,2022,Box Van,"10,957",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16201218/2022-Ford-E-450-18FT-BOX
Ford E-450 18FT BOX ,2022,Box Van,"7,302",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16201216/2022-Ford-E-450-18FT-BOX
Ram 2500 ,2021,Pickup,"36,645",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16192268/2021-Ram-2500
Ford TRANSIT 350 HD 14 FT BOX ,2020,Box Van,"121,253",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16197682/2020-Ford-TRANSIT-350-HD-14-FT-BOX
Ford F550 ,2020,Rollback,"139,960",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16201127/2020-Ford-F550
Volvo VNL ,2019,Day Cab,"744,944",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16202048/2019-Volvo-VNL
Freightliner CASCADIA ,2019,Sleeper Truck,"591,524",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16200554/2019-Freightliner-CASCADIA
Dodge RAM 2500 ,2019,Pickup,"45,606",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16201180/2019-Dodge-RAM-2500
Volvo VNL ,2019,Sleeper Truck,"282,717",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16195258/2019-Volvo-VNL
GMC SAVANA 14 FT BOX TRUCK ,2019,Box Van,"105,469",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16197690/2019-GMC-SAVANA-14-FT-BOX-TRUCK-
SPRINTER ,2019,Box Van,"21,384",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16195744/2019-SPRINTER
Freightliner CASCADIA ,2019,Sleeper Truck,"622,259",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16200545/2019-Freightliner-CASCADIA
Dodge RAM 5500 ,2018,Wrecker,"131,299",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16202286/2018-Dodge-RAM-5500
Peterbilt 579 ,2018,Sleeper Truck,"555,859",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16200565/2018-Peterbilt-579
Freightliner CASCADIA CA125SLP ,2018,Sleeper Truck,"583,108",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16200542/2018-Freightliner-CASCADIA-CA125SLP
Ram 2500 ,2018,Pickup,"81,078",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16195271/2018-Ram-2500
Freightliner CASCADIA CA113DC ,2018,Day Cab,"761,647",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16200104/2018-Freightliner-CASCADIA-CA113DC
Kenworth T880 TANDEM AXLE DUMP ,2018,Dump Truck,"202,387",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16197686/2018-Kenworth-T880-TANDEM-AXLE-DUMP
Freightliner CASCADIA CA125SLP ,2017,Sleeper Truck,"908,669",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16200447/2017-Freightliner-CASCADIA-CA125SLP
Freightliner CASCADIA CA125SLP ,2017,Sleeper Truck,"631,116",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16200636/2017-Freightliner-CASCADIA-CA125SLP
Ford F350 ,2017,Utility Truck,"163,490",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16200058/2017-Ford-F350
Peterbilt 579 ,2017,Sleeper Truck,Condition:,Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16202698/2017-Peterbilt-579
Mack CXU613 ,2017,Day Cab,"637,371",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16201172/2017-Mack-CXU613
Kenworth T680 ,2016,Sleeper Truck,"629,507",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16200535/2016-Kenworth-T680
Freightliner CASCADIA CA125SLP ,2016,Sleeper Truck,Condition:,Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16161427/2016-Freightliner-CASCADIA-CA125SLP
Freightliner CASCADIA CA125SLP ,2016,Sleeper Truck,"576,972",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16198454/2016-Freightliner-CASCADIA-CA125SLP
Peterbilt 579 ,2016,Day Cab,"553,631",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16200884/2016-Peterbilt-579
Ford F350 ,2016,Flatbed,"102,864",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16195270/2016-Ford-F350
Ford F450 ,2016,Flatbed,"101,274",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16195266/2016-Ford-F450
Western Star 4900FA ,2016,Sleeper Truck,"481,833",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16179614/2016-Western-Star-4900FA
Mack CXU613 ,2016,Day Cab,"570,429",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16201175/2016-Mack-CXU613
Freightliner M2 106 ,2016,Material Handler Crane,"151,716",Roanoke,AL,"82,500",https://www.soarr.com/for-sale/trucks/specs/16197920/2016-Freightliner-M2-106
Chevrolet TAHOE ,2016,Sports Utility,"55,608",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16200065/2016-Chevrolet-TAHOE
Mack CXU613 ,2016,Day Cab,"562,819",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16201177/2016-Mack-CXU613
International Prostar ,2016,Sleeper Truck,"745,796",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16191850/2016-International-Prostar
Volvo VNL300 ,2016,Day Cab,"471,176",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16201161/2016-Volvo-VNL300
Freightliner CASCADIA EVOLUTION ,2016,Sleeper Truck,"163,943",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16200541/2016-Freightliner-CASCADIA-EVOLUTION-
Isuzu NPR ,2016,Box Van,"234,157",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16199303/2016-Isuzu-NPR
Isuzu NPR ,2016,Box Truck,"92,309",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16198090/2016-Isuzu-NPR
Freightliner Columbia Glider ,2016,Sleeper Truck,"908,723",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16199887/2016-Freightliner-Columbia-Glider
International Prostar+ 122 ,2015,Day Cab,"687,395",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16201184/2015-International-Prostar%252B-122
Freightliner CA12564SLP - CA ,2015,Sleeper Truck,"626,910",Roanoke,AL,0,https://www.soarr.com/for-sale/trucks/specs/16202285/2015-Freightliner-CA12564SLP---CA
